,X,X.x,Site,CoreName_2,Extracted_IntervalStart_Depth_cm,Extracted_IntervalEnd_Depth_cm,Corrected_IntervalStart_Depth_cm,Corrected_IntervalEnd_Depth_cm,Corrected_DBD_g_cm3,Corrected_Sample_Thickness_cm,Province,Region,OC_Per,Study,Percent.Sand.Fraction,Percent.Gravel.Fraction,Core.Number,Type,Coast,Percent.Silt.Fraction,SiteName2.x,Corrected_Midpoint_cm,Corrected_Midpoint_cm_rounded,SiteCode,Watercourse_NEAR_DIST.x,REI_SUM,X.y,REI_Scaled,Elevation,Watercourse_NEAR_DIST.y,REI_Raw
262,262,262,Sacrifice Shallow,NS-SCs-2-BA-2,2,5,2,5,0.8,3,NS,Atlantic,2.694,Christensen,76,0,2,BA,Atlantic,24,Sacrifice Shallow,3.5,5,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
263,263,263,Sacrifice Shallow,NS-SCs-2-BA-2,20,30,20,30,0.8,10,NS,Atlantic,2.178,Christensen,68.2,0,2,BA,Atlantic,31.9,Sacrifice Shallow,25,25,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
264,264,264,Sacrifice Shallow,NS-SCs-2-BA-2,30,40,30,40,0.7,10,NS,Atlantic,2.476,Christensen,64.4,0,2,BA,Atlantic,35.5,Sacrifice Shallow,35,35,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
265,265,265,Sacrifice Shallow,NS-SCs-2-BA-2,40,50,40,50,0.6,10,NS,Atlantic,2.437,Christensen,62.9,0,2,BA,Atlantic,37.1,Sacrifice Shallow,45,45,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
266,266,266,Sacrifice Shallow,NS-SCs-2-BA-2,5,10,5,10,1.1,5,NS,Atlantic,1.865,Christensen,76.5,0,2,BA,Atlantic,23.4,Sacrifice Shallow,7.5,10,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
267,267,267,Sacrifice Shallow,NS-SCs-2-BA-2,50,56.7,50,56.7,0.5,6.7,NS,Atlantic,2.544,Christensen,66,0,2,BA,Atlantic,34,Sacrifice Shallow,53.35,55,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
268,268,268,Sacrifice Shallow,NS-SCs-3-BA-3,0,2,0,6.3,0.3,6.3,NS,Atlantic,1.929,Christensen,78.9,0,3,BA,Atlantic,21.2,Sacrifice Shallow,3.15,5,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
269,269,269,Sacrifice Shallow,NS-SCs-3-BA-3,10,18.2,31.4,57.1,0.3,25.7,NS,Atlantic,0.444,Christensen,85.7,0,3,BA,Atlantic,14.2,Sacrifice Shallow,44.25,45,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
270,270,270,Sacrifice Shallow,NS-SCs-3-BA-3,2,5,6.3,15.7,0.3,9.4,NS,Atlantic,2.064,Christensen,77.4,0,3,BA,Atlantic,22.7,Sacrifice Shallow,11,15,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
271,271,271,Sacrifice Shallow,NS-SCs-3-BA-3,5,10,15.7,31.4,0.3,15.7,NS,Atlantic,2.062,Christensen,74.3,0,3,BA,Atlantic,25.9,Sacrifice Shallow,23.55,25,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
272,272,272,Sacrifice Shallow,NS-SCs-4-BA-4,0,2,0,2,0.9,2,NS,Atlantic,0.337,Christensen,87.5,0,4,BA,Atlantic,12.3,Sacrifice Shallow,1,5,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
273,273,273,Sacrifice Shallow,NS-SCs-4-BA-4,10,20,11,21,0.9,10,NS,Atlantic,3.36,Christensen,65.8,0,4,BA,Atlantic,34.2,Sacrifice Shallow,16,20,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
274,274,274,Sacrifice Shallow,NS-SCs-4-BA-4,2,5,2,5,0.9,3,NS,Atlantic,0.876,Christensen,88.3,0,4,BA,Atlantic,11.8,Sacrifice Shallow,3.5,5,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
275,275,275,Sacrifice Shallow,NS-SCs-4-BA-4,20,30,21,32,0.9,11,NS,Atlantic,4.079,Christensen,72.3,0,4,BA,Atlantic,27.6,Sacrifice Shallow,26.5,30,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
276,276,276,Sacrifice Shallow,NS-SCs-4-BA-4,30,40,32,42,0.9,10,NS,Atlantic,2.313,Christensen,74.8,0,4,BA,Atlantic,25.2,Sacrifice Shallow,37,40,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
277,277,277,Sacrifice Shallow,NS-SCs-4-BA-4,40,48.4,42.2,51.1,0.9,8.9,NS,Atlantic,2.272,Christensen,77,0,4,BA,Atlantic,23,Sacrifice Shallow,46.65,50,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
278,278,278,Sacrifice Shallow,NS-SCs-4-BA-4,48.4,54,51.1,57,0.9,5.9,NS,Atlantic,1.988,Christensen,74.7,0,4,BA,Atlantic,25.3,Sacrifice Shallow,54.05,55,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
279,279,279,Sacrifice Shallow,NS-SCs-4-BA-4,5,10,5,11,0.9,6,NS,Atlantic,1.795,Christensen,79.2,0,4,BA,Atlantic,20.6,Sacrifice Shallow,8,10,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
280,280,280,Sacrifice Shallow,NS-SCs-5-SG-5,0,2,0,2,1,2,NS,Atlantic,1.404,Christensen,74.1,0,5,SG,Atlantic,25.9,Sacrifice Shallow,1,5,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
281,281,281,Sacrifice Shallow,NS-SCs-5-SG-5,10,20,10,20,0.8,10,NS,Atlantic,1.762,Christensen,75,0,5,SG,Atlantic,25,Sacrifice Shallow,15,15,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
282,282,282,Sacrifice Shallow,NS-SCs-5-SG-5,2,5,2,5,1,3,NS,Atlantic,0.893,Christensen,77.6,0,5,SG,Atlantic,22.3,Sacrifice Shallow,3.5,5,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
283,283,283,Sacrifice Shallow,NS-SCs-5-SG-5,20,30,20,30,0.6,10,NS,Atlantic,2.881,Christensen,69.1,0,5,SG,Atlantic,30.8,Sacrifice Shallow,25,25,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
284,284,284,Sacrifice Shallow,NS-SCs-5-SG-5,30,40,30,40,0.7,10,NS,Atlantic,2.631,Christensen,69.8,0,5,SG,Atlantic,30.3,Sacrifice Shallow,35,35,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
285,285,285,Sacrifice Shallow,NS-SCs-5-SG-5,40,50,40,50,0.6,10,NS,Atlantic,2.753,Christensen,66.8,0,5,SG,Atlantic,33.2,Sacrifice Shallow,45,45,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
286,286,286,Sacrifice Shallow,NS-SCs-5-SG-5,5,10,5,10,1.3,5,NS,Atlantic,0.54,Christensen,84.2,0,5,SG,Atlantic,15.9,Sacrifice Shallow,7.5,10,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
287,287,287,Sacrifice Shallow,NS-SCs-5-SG-5,50,55.6,50,55.6,0.5,5.6,NS,Atlantic,2.238,Christensen,64.2,0,5,SG,Atlantic,35.7,Sacrifice Shallow,52.8,55,SCs,14864.16694,4.70543e+45,49,0.01492786,7,14864.16694,1013.474558
288,288,288,Sambro Deep,NS-SAd-1-SG-1,0,2,0,10.4,0.2,10.4,NS,Atlantic,0.795,Christensen,94.1,0,1,SG,Atlantic,6,Sambro Deep,5.2,10,SAd,23533.52887,1.59346e+50,51,0.327026712,-4,23533.52887,17547.67307
289,289,289,Sambro Deep,NS-SAd-1-SG-1,2,5,10.4,26,0.2,15.6,NS,Atlantic,0.532,Christensen,94,0,1,SG,Atlantic,6,Sambro Deep,18.2,20,SAd,23533.52887,1.59346e+50,51,0.327026712,-4,23533.52887,17547.67307
