"","Site","CoreName_2","REI_Scaled","Type","Watercourse_NEAR_DIST.x","Coast","c_100","c_60","c_30","c_60_cm2","c_100_cm2","c_30_cm2","c_60_m2","c_100_m2","c_30_m2"
"70","Taylor's Head","NS-TH-1-BA-1",0.686227353,"BA",18787.93701,"Atlantic",0.423547698867879,0.308148927933794,0.179992272771333,0.0172981955522732,0.0237762012344435,0.0101040154615289,172.981955522732,237.762012344435,101.040154615289
"71","Taylor's Head","NS-TH-2-SG-2",0.686227353,"SG",18787.93701,"Atlantic",0.424341546880799,0.403252857368939,0.32501720941673,0.0226369334806823,0.023820764550819,0.0182451105186148,226.369334806823,238.20764550819,182.451105186148
"72","Taylor's Head","NS-TH-3-SG-3",0.686227353,"SG",18787.93701,"Atlantic",0.328799162109283,0.311750246474333,0.250103654188242,0.0175003585543579,0.0184574135685845,0.014039775985902,175.003585543579,184.574135685845,140.39775985902
"73","Taylor's Head","NS-TH-4-SG-4",0.686227353,"SG",18787.93701,"Atlantic",0.32004861199637,0.303691622777215,0.244026953983282,0.0170479810318085,0.0179661941830163,0.0136986553817747,170.479810318085,179.661941830163,136.986553817747
"74","Taylor's Head","NS-TH-5-BA-5",0.686227353,"BA",18787.93701,"Atlantic",0.24147763574734,0.183393312020498,0.111379848745558,0.0102949356195431,0.0135555472889899,0.00625240015307539,102.949356195431,135.555472889899,62.5240015307539
"75","Taylor's Head Deep","NS-THd-1-SG-1",1,"SG",18665.01085,"Atlantic",12.3409060293659,5.80785136827119,2.44389931867319,0.326028551780254,0.692766991660812,0.137190314462359,3260.28551780254,6927.66991660812,1371.90314462359
"76","Taylor's Head Deep","NS-THd-2-BA-2",1,"BA",18665.01085,"Atlantic",20.8191074207983,8.84129498436641,3.47210908174279,0.496313424162753,1.16869785594752,0.194909721989086,4963.13424162753,11686.9785594752,1949.09721989086
"77","Taylor's Head Deep","NS-THd-3-BA-3",1,"BA",18665.01085,"Atlantic",15.0242905179106,7.22696598465432,3.08675581912446,0.405691727342425,0.843401004688294,0.173277597100076,4056.91727342425,8434.01004688294,1732.77597100076
"78","Taylor's Head Deep","NS-THd-4-SG-4",1,"SG",18665.01085,"Atlantic",14.1929360028845,8.04915077320002,3.86051741633611,0.45184575211133,0.796732229720898,0.216713345876337,4518.4575211133,7967.32229720898,2167.13345876337
"79","Tsawwassen","BC-TSW-1-SG-1",0.061334021,"SG",8487.07946,"Pacific",11.3824036769048,7.5753966496435,4.10510490743545,0.425251171601424,0.638960667422201,0.230443467473856,4252.51171601424,6389.60667422201,2304.43467473856
"80","Tsawwassen","BC-TSW-2-SG-2",0.061334021,"SG",8487.07946,"Pacific",9.54113025675231,7.3694557917396,4.54777942981548,0.413690510799807,0.53559925740346,0.255293368803982,4136.90510799807,5355.9925740346,2552.93368803982
"81","Tsawwassen","BC-TSW-3-SG-3",0.061334021,"SG",8487.07946,"Pacific",9.67515367563306,7.26930584095222,4.3710125189119,0.408068510279192,0.543122773139596,0.24537041170501,4080.68510279192,5431.22773139596,2453.7041170501
"82","Tsawwassen","BC-TSW-4-BA-4",0.061334021,"BA",8487.07946,"Pacific",7.5568963396771,5.92919828519123,3.71523215785575,0.332840461568885,0.424212641363067,0.208557637437216,3328.40461568885,4242.12641363067,2085.57637437216
"83","Tsawwassen","BC-TSW-5-BA-5",0.061334021,"BA",8487.07946,"Pacific",9.54743620804346,7.38243599774201,4.56060100908957,0.414419165425491,0.53595324720738,0.256013118786756,4144.19165425491,5359.5324720738,2560.13118786756
