"","X.1","X","X.x","Site","CoreName_2","Extracted_IntervalStart_Depth_cm","Extracted_IntervalEnd_Depth_cm","Corrected_DBD_g_cm3","Corrected_Sample_Thickness_cm","Province","Region","OC_Per","Study","Percent.Sand.Fraction","Percent.Gravel.Fraction","Core.Number","Type","Coast","Percent.Silt.Fraction","SiteName2.x","Corrected_Midpoint_cm","SiteCode","Watercourse_NEAR_DIST.x","REI_SUM","REI_Scaled","REI_Raw","c_dens","estCfactorS","meanCF","sdCF","conversion","consistent.with.Matts.data","CF_final","corr_SD","corr_ED","corr_thickness","corr_segment_midpoint"
"129",133,133,133,"Parksville","BC-PAR-5-BA-5",0,2,0.391680274,6.7,"BC","Vancouver Island",0.098,"Christensen",100,0,5,"BA","Pacific",0,"Parksville",3.35,"PAR",37982.6795,1.58997e+66,0.098275402,5429.014022,0.00038384666852,0,"0.298954330145679",0.000631966021258672,"Missing",NA,0.298954330145679,0,0.597908660291358,0.597908660291358,0.298954330145679
"130",134,134,134,"Parksville","BC-PAR-2-SG-2",20,29.3,0.829060857,18.1,"BC","Vancouver Island",0.062,"Christensen",99.9,0.2,2,"SG","Pacific",0,"Parksville",47.95,"PAR",37982.6795,1.58997e+66,0.098275402,5429.014022,0.00051401773134,0.51413881748072,"0.51381094016188",0.00126513903568041,"Missing",NA,0.51381094016188,10.2762188032376,15.0546605467431,4.77844174350548,12.6654396749903
"131",135,135,135,"Parksville","BC-PAR-2-SG-2",5,10,0.937235924,9.75,"BC","Vancouver Island",0.07,"Christensen",99.9,0.2,2,"SG","Pacific",0,"Parksville",14.575,"PAR",37982.6795,1.58997e+66,0.098275402,5429.014022,0.0006560651468,0.515463917525773,"0.51381094016188",0.00126513903568041,"Missing",NA,0.51381094016188,2.5690547008094,5.1381094016188,2.5690547008094,3.8535820512141
"132",136,136,136,"Parksville","BC-PAR-3-SG-3",0,2,0.664624201,3.5,"BC","Vancouver Island",0.083,"Christensen",99.9,0,3,"SG","Pacific",0,"Parksville",1.75,"PAR",37982.6795,1.58997e+66,0.098275402,5429.014022,0.00055163808683,0,"0.575552644817146",0.00316410077723114,"Missing",NA,0.575552644817146,0,1.15110528963429,1.15110528963429,0.575552644817146
"133",137,137,137,"Parksville","BC-PAR-1-SG-1",0,2,1.438242308,2.9,"BC","Vancouver Island",0.078,"Christensen",99.9,0,1,"SG","Pacific",0,"Parksville",1.45,"PAR",37982.6795,1.58997e+66,0.098275402,5429.014022,0.00112182900024,0,"0.695697647271404",0.00330332613399325,"Missing",NA,0.695697647271404,0,1.39139529454281,1.39139529454281,0.695697647271404
"134",138,138,138,"Parksville","BC-PAR-1-SG-1",13,23,1.243080273,14.3,"BC","Vancouver Island",0.089,"Christensen",100,0,1,"SG","Pacific",0,"Parksville",25.75,"PAR",37982.6795,1.58997e+66,0.098275402,5429.014022,0.00110634144297,0.698924731182796,"0.695697647271404",0.00330332613399325,"Missing",NA,0.695697647271404,9.04406941452825,16.0010458872423,6.95697647271404,12.5225576508853
"135",139,139,139,"Parksville","BC-PAR-1-SG-1",2,5,1.137792053,4.3,"BC","Vancouver Island",0.085,"Christensen",99.9,0,1,"SG","Pacific",0,"Parksville",5.05,"PAR",37982.6795,1.58997e+66,0.098275402,5429.014022,0.00096712324505,0.689655172413793,"0.695697647271404",0.00330332613399325,"Missing",NA,0.695697647271404,1.39139529454281,3.47848823635702,2.08709294181421,2.43494176544991
"136",140,140,140,"Parksville","BC-PAR-1-SG-1",23,30,1.420887107,10.1,"BC","Vancouver Island",0.069,"Christensen",99.9,0.2,1,"SG","Pacific",0,"Parksville",37.95,"PAR",37982.6795,1.58997e+66,0.098275402,5429.014022,0.00098041210383,0.699088145896657,"0.695697647271404",0.00330332613399325,"Missing",NA,0.695697647271404,16.0010458872423,20.8709294181421,4.86988353089983,18.4359876526922
"137",141,141,141,"Parksville","BC-PAR-1-SG-1",30,37,1.206466397,10,"BC","Vancouver Island",0.063,"Christensen",98.1,0,1,"SG","Pacific",1.9,"Parksville",48,"PAR",37982.6795,1.58997e+66,0.098275402,5429.014022,0.00076007383011,0.697674418604651,"0.695697647271404",0.00330332613399325,"Missing",NA,0.695697647271404,20.8709294181421,25.7408129490419,4.86988353089983,23.305871183592
"138",143,143,143,"Parksville","BC-PAR-1-SG-1",5,8,1.170449689,4.3,"BC","Vancouver Island",0.086,"Christensen",100,0,1,"SG","Pacific",0,"Parksville",9.35,"PAR",37982.6795,1.58997e+66,0.098275402,5429.014022,0.00100658673254,0.694444444444444,"0.695697647271404",0.00330332613399325,"Missing",NA,0.695697647271404,3.47848823635702,5.56558117817123,2.08709294181421,4.52203470726413
