,SiteName2,SampleName,CoreName_2,Extracted_IntervalStart_Depth_cm,Extracted_IntervalEnd_Depth_cm,Corrected_IntervalStart_Depth_cm,Corrected_IntervalEnd_Depth_cm,Corrected_DBD_g_cm3,Corrected_Sample_Thickness_cm,Province,Region,Site,OC_Per,Study,Percent.Sand.Fraction,Percent.Gravel.Fraction,Percent.Silt.Fraction,Core.Number,Corrected_Midpoint_cm,Corrected_Midpoint_cm_rounded,Prov,SiteCode,Watercourse_NEAR_FID,Watercourse_NEAR_DIST,Elevation,REI,LOI_Percent,Coast,Type
68,Parksville,BC-PAR-1-SG-1-13-23,BC-PAR-1-SG-1,13,23,18.6,32.9,1.243080273,14.3,BC,Vancouver Island,Parksville,0.089,Christensen,100,0,0,1,25.75,30,BC ,PAR,2273,37982.6795,6,5429.014022,0.638569604,Pacific,Seagrass
69,Parksville,BC-PAR-1-SG-1-2-5,BC-PAR-1-SG-1,2,5,2.9,7.2,1.137792053,4.3,BC,Vancouver Island,Parksville,0.085,Christensen,99.9,0,0,1,5.05,10,BC ,PAR,2273,37982.6795,6,5429.014022,0.643484717,Pacific,Seagrass
70,Parksville,BC-PAR-1-SG-1-23-30,BC-PAR-1-SG-1,23,30,32.9,43,1.420887107,10.1,BC,Vancouver Island,Parksville,0.069,Christensen,99.9,0.2,0,1,37.95,40,BC ,PAR,2273,37982.6795,6,5429.014022,0.527306968,Pacific,Seagrass
71,Parksville,BC-PAR-1-SG-1-30-37,BC-PAR-1-SG-1,30,37,43,53,1.206466397,10,BC,Vancouver Island,Parksville,0.063,Christensen,98.1,0,1.9,1,48,50,BC ,PAR,2273,37982.6795,6,5429.014022,0.661157025,Pacific,Seagrass
72,Parksville,BC-PAR-1-SG-1-5-8,BC-PAR-1-SG-1,5,8,7.2,11.5,1.170449689,4.3,BC,Vancouver Island,Parksville,0.087,Christensen,100,0,0,1,9.35,10,BC ,PAR,2273,37982.6795,6,5429.014022,0.611542872,Pacific,Seagrass
73,Parksville,BC-PAR-1-SG-1-5-8,BC-PAR-1-SG-1,5,8,7.2,11.5,1.170449689,4.3,BC,Vancouver Island,Parksville,0.086,Christensen,100,0,0,1,9.35,10,BC ,PAR,2273,37982.6795,6,5429.014022,0.611542872,Pacific,Seagrass
74,Parksville,BC-PAR-1-SG-1-8-13,BC-PAR-1-SG-1,8,13,11.5,18.6,1.073783085,7.1,BC,Vancouver Island,Parksville,0.077,Christensen,99.9,0,0,1,15.05,20,BC ,PAR,2273,37982.6795,6,5429.014022,0.654886939,Pacific,Seagrass
75,Parksville,BC-PAR-2-SG-2-0-2,BC-PAR-2-SG-2,0,2,0,3.89,0.839703368,3.89,BC,Vancouver Island,Parksville,0.137,Christensen,100,0,0,2,1.945,5,BC ,PAR,2273,37982.6795,6,5429.014022,0.531389026,Pacific,Seagrass
76,Parksville,BC-PAR-2-SG-2-10-20,BC-PAR-2-SG-2,10,20,19.5,38.91,0.872310406,19.41,BC,Vancouver Island,Parksville,0.088,Christensen,100,0,0,2,29.205,30,BC ,PAR,2273,37982.6795,6,5429.014022,0.715361446,Pacific,Seagrass
77,Parksville,BC-PAR-2-SG-2-2-5,BC-PAR-2-SG-2,2,5,3.9,9.73,0.690615141,5.83,BC,Vancouver Island,Parksville,0.087,Christensen,100,0,0,2,6.815,10,BC ,PAR,2273,37982.6795,6,5429.014022,0.667758599,Pacific,Seagrass
